pc,location,windows-vers,TPM-enabled,BL-ready-drive,BL-encrypted
laptop-n082,2.4,\\LAPTOP-N082\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N082\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n072,2.12,\\LAPTOP-N072\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N072\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n083,1.11,\\LAPTOP-N083\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N083\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n069,1.5,\\LAPTOP-N069\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N069\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n098,3.12,\\LAPTOP-N098\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N098\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na12,1.15 (VIP),\\LAPTOP-NA12\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA12\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n092,2.5,\\LAPTOP-N092\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N092\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na05,4.2a,\\LAPTOP-NA05\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA05\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n095,3.15,\\LAPTOP-N095\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N095\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n070,2.15,\\LAPTOP-N070\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N070\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n096,3.14,\\LAPTOP-N096\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N096\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n068,1.4,\\LAPTOP-N068\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N068\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n085,3.3,\\LAPTOP-N085\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N085\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n093,2.1,\\LAPTOP-N093\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N093\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n080,2.2,\\LAPTOP-N080\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N080\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na04,4.2b,\\LAPTOP-NA04\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA04\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n065,1.1,\\LAPTOP-N065\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N065\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n073,2.13,\\LAPTOP-N073\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N073\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n067,1.3,\\LAPTOP-N067\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N067\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na03,3.6,\\LAPTOP-NA03\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA03\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na15,S2,\\LAPTOP-NA15\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA15\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na09,4.5,\\LAPTOP-NA09\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA09\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n066,1.2,\\LAPTOP-N066\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N066\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n089,1.13b,\\LAPTOP-N089\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N089\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n074,2.1,\\LAPTOP-N074\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N074\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na20,S9,\\LAPTOP-NA20\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA20\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n090,1.13a,\\LAPTOP-N090\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N090\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na16,S3,\\LAPTOP-NA16\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA16\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n078,3.1,\\LAPTOP-N078\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N078\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na06,1.1,\\LAPTOP-NA06\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA06\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n087,3.5,\\LAPTOP-N087\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N087\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na02,3.8,\\LAPTOP-NA02\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA02\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n077,2.7,\\LAPTOP-N077\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N077\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na14,S1,\\LAPTOP-NA14\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA14\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n084,3.2,\\LAPTOP-N084\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N084\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na00,3.9,\\LAPTOP-NA00\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA00\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na17,S4,\\LAPTOP-NA17\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA17\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n079,3.11,\\LAPTOP-N079\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N079\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na01,3.7,\\LAPTOP-NA01\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA01\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na19,S8,\\LAPTOP-NA19\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA19\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n086,3.4,\\LAPTOP-N086\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N086\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n091,1.1,\\LAPTOP-N091\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N091\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n076,2.8,\\LAPTOP-N076\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N076\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n099,3.1,\\LAPTOP-N099\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N099\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-na18,S6,\\LAPTOP-NA18\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-NA18\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
laptop-n406,Aula Magna,\\LAPTOP-N406\root\cimv2:Win32_OperatingSystem=@,\\LAPTOP-N406\root\cimv2\security\microsofttpm:Win32_Tpm=@,C:,True
